Seasons,H,WAR,ERA,K/9,H/9,ER,HBP,K-BB%,Contact%,FB%
8,1070,18.6,3.71,7.96,8.58,463,41,0.115,0.79,0.33899999999999997
9,1271,18.3,3.8,7.68,8.85,546,39,0.125,0.8140000000000001,0.354
10,1940,18.2,4.05,6.06,9.55,824,68,0.10800000000000001,0.841,0.285
6,722,18.2,3.59,9.83,7.58,342,31,0.17800000000000002,0.715,0.285
7,731,18.1,3.6,10.06,7.76,339,42,0.17600000000000002,0.7509999999999999,0.386
10,1549,17.9,4.52,7.19,9.27,755,58,0.10300000000000001,0.7709999999999999,0.276
10,1062,17.9,3.69,8.56,8.53,459,60,0.161,0.775,0.293
9,990,17.9,4.06,8.62,8.83,455,24,0.17800000000000002,0.759,0.37200000000000005
5,841,17.9,3.21,8.1,8.09,334,13,0.152,0.77,0.42700000000000005
9,1642,17.8,4.25,7.11,9.47,737,38,0.111,0.821,0.41700000000000004
12,1384,17.7,4.52,7.25,9.65,648,32,0.132,0.838,0.441
11,1350,17.6,4.25,8.13,8.62,665,43,0.145,0.792,0.41700000000000004
6,1050,17.6,3.93,6.68,9.42,438,19,0.102,0.812,0.33
8,935,17.6,4.51,9.25,8.8,479,42,0.163,0.757,0.314
10,1533,17.5,4.38,6.6,9.18,731,41,0.095,0.807,0.391
10,1712,17.4,3.79,6.5,8.52,761,79,0.09699999999999999,0.802,0.35200000000000004
13,1973,17.4,4.73,6.98,9.61,972,36,0.08900000000000001,0.7879999999999999,0.361
11,1130,17.4,3.85,7.5,8.77,496,41,0.128,0.8,0.258
7,660,17.4,3.41,10.95,7.31,308,7,0.18899999999999997,0.695,0.37200000000000005
8,684,17.4,3.59,9.91,8.16,301,9,0.192,0.75,0.35
9,1274,17.3,4.1,8.35,8.58,609,54,0.127,0.7859999999999999,0.408
9,1078,17.3,3.95,11.04,7.92,538,41,0.19,0.725,0.392
7,983,17.3,4.4,8.73,8.88,487,32,0.158,0.763,0.293
9,1394,17.1,3.45,5.64,8.5,565,59,0.08800000000000001,0.8170000000000001,0.237
7,1163,17.0,3.91,8.18,8.47,536,37,0.124,0.76,0.35100000000000003
13,1455,16.5,4.56,7.43,9.34,710,56,0.115,0.7979999999999999,0.33899999999999997
8,1181,16.4,4.31,7.52,8.85,575,93,0.09699999999999999,0.804,0.259
12,1543,16.3,4.22,6.27,9.1,716,39,0.095,0.802,0.418
11,1111,16.3,3.95,8.05,8.53,514,45,0.124,0.789,0.42
10,1114,16.3,4.12,7.18,8.78,523,55,0.11599999999999999,0.7909999999999999,0.35700000000000004
12,1272,16.1,3.98,6.92,8.59,589,49,0.10099999999999999,0.795,0.342
13,1335,16.0,4.18,7.22,8.37,666,56,0.092,0.8029999999999999,0.324
7,973,16.0,4.24,8.84,8.55,482,69,0.16,0.784,0.37799999999999995
9,969,16.0,4.42,8.07,9.02,475,33,0.145,0.789,0.34700000000000003
10,499,16.0,2.6,10.09,7.2,180,30,0.215,0.75,0.424
10,1137,15.9,3.99,8.42,8.16,555,35,0.141,0.7859999999999999,0.455
7,919,15.8,3.74,7.58,7.9,435,29,0.14,0.813,0.479
13,1217,15.8,4.07,6.09,9.61,516,32,0.09699999999999999,0.8320000000000001,0.24600000000000002
9,1616,15.6,4.12,5.79,9.32,714,43,0.094,0.8370000000000001,0.375
11,1129,15.5,4.17,6.64,9.48,497,26,0.114,0.838,0.332
11,1409,15.4,4.43,6.3,9.76,640,41,0.078,0.82,0.28800000000000003
10,1471,15.4,4.43,6.96,9.71,672,31,0.12300000000000001,0.805,0.355
14,633,15.4,3.11,9.8,7.47,264,27,0.191,0.7559999999999999,0.371
7,918,15.3,4.15,9.16,8.72,437,27,0.157,0.7759999999999999,0.376
10,870,15.3,3.68,8.87,8.38,382,42,0.17,0.76,0.371
15,1790,15.2,4.14,8.36,8.53,868,82,0.139,0.797,0.42700000000000005
13,550,15.1,2.89,11.89,6.7,237,17,0.221,0.722,0.361
5,499,15.1,3.02,9.73,7.04,214,22,0.20600000000000002,0.762,0.342
12,1352,15.0,4.45,7.57,8.83,681,55,0.09699999999999999,0.769,0.32299999999999995
7,786,15.0,3.79,8.93,8.24,362,58,0.177,0.758,0.34600000000000003
9,885,14.9,3.74,8.63,8.24,402,59,0.134,0.78,0.281
7,603,14.9,3.48,10.02,7.55,278,38,0.16699999999999998,0.728,0.26
6,495,14.6,3.18,10.48,7.26,217,26,0.22399999999999998,0.7490000000000001,0.353
10,1128,14.5,3.85,7.33,8.94,485,23,0.11599999999999999,0.7759999999999999,0.265
8,1443,14.5,4.31,5.65,9.7,641,62,0.075,0.843,0.28300000000000003
5,357,14.5,2.58,11.25,6.82,135,13,0.23800000000000002,0.728,0.325
6,534,14.4,3.39,10.0,7.53,240,22,0.203,0.753,0.33
5,401,14.3,3.21,11.69,7.0,184,25,0.255,0.667,0.321
8,1114,14.0,3.85,7.29,8.68,494,55,0.124,0.8079999999999999,0.34700000000000003
8,927,14.0,4.12,7.23,8.99,425,24,0.138,0.81,0.457
7,1232,13.8,4.32,5.84,9.71,548,18,0.08,0.815,0.225
6,567,13.8,3.09,8.78,8.07,217,26,0.172,0.759,0.259
12,614,13.8,3.81,10.1,8.57,273,19,0.21100000000000002,0.7509999999999999,0.397
12,895,13.7,3.94,8.44,8.13,433,32,0.129,0.7929999999999999,0.39299999999999996
6,762,13.7,3.84,8.11,8.71,336,26,0.158,0.792,0.348
11,1662,13.6,4.66,5.1,10.28,754,78,0.046,0.8640000000000001,0.31
7,1029,13.6,4.35,7.21,8.94,500,43,0.128,0.816,0.45799999999999996
10,1138,13.4,4.05,7.97,8.88,519,30,0.133,0.8,0.331
6,646,13.4,3.87,9.85,7.63,328,29,0.196,0.718,0.368
11,921,13.4,3.87,7.8,8.42,423,28,0.11699999999999999,0.77,0.29
11,1463,13.3,4.38,6.43,9.77,656,69,0.10300000000000001,0.82,0.303
13,1489,13.3,4.62,7.62,9.14,753,47,0.11199999999999999,0.8059999999999999,0.37799999999999995
5,593,13.2,3.1,8.02,7.45,247,30,0.142,0.764,0.315
5,654,13.1,3.05,6.86,8.37,238,29,0.129,0.802,0.299
12,1430,13.0,4.31,7.78,8.58,718,73,0.09,0.773,0.314
7,756,13.0,3.94,9.0,8.22,362,25,0.139,0.795,0.396
9,1232,12.9,3.8,7.78,7.94,590,67,0.125,0.782,0.408
15,724,12.9,4.0,10.7,7.96,364,59,0.168,0.74,0.32299999999999995
7,717,12.9,4.33,9.47,7.78,399,31,0.162,0.733,0.39
6,487,12.8,2.82,8.9,7.31,188,22,0.174,0.7709999999999999,0.406
6,910,12.6,4.03,7.08,8.34,440,50,0.076,0.813,0.35200000000000004
6,307,12.6,2.04,8.73,6.87,91,17,0.21100000000000002,0.8009999999999999,0.308
9,1279,12.5,4.07,6.92,9.68,538,41,0.106,0.836,0.28800000000000003
12,761,12.3,3.96,9.19,7.97,378,27,0.139,0.764,0.40299999999999997
7,283,12.2,2.93,14.81,6.38,130,29,0.316,0.627,0.391
7,850,12.1,4.06,8.11,8.64,399,37,0.153,0.773,0.363
6,538,12.1,3.39,9.51,7.37,247,19,0.168,0.73,0.396
8,654,12.1,3.45,8.19,7.98,283,55,0.14300000000000002,0.8009999999999999,0.36
6,825,12.0,3.42,7.27,8.4,336,15,0.14800000000000002,0.809,0.327
14,657,12.0,2.94,7.96,8.14,237,25,0.151,0.778,0.228
9,1820,11.9,4.38,5.32,9.48,842,85,0.07200000000000001,0.858,0.392
11,1390,11.9,4.47,5.71,9.37,663,59,0.07400000000000001,0.843,0.32
7,778,11.9,4.16,7.63,8.73,371,22,0.13699999999999998,0.774,0.38799999999999996
9,350,11.9,2.66,10.71,6.55,142,4,0.265,0.7,0.521
8,839,11.7,4.12,8.02,8.96,386,23,0.147,0.792,0.36
6,1077,11.7,4.6,6.15,10.25,483,34,0.079,0.852,0.361
