id,g,war,era,k/9,cg,sv
1009211,37,6.2,3.34,7.11,20,0
855,35,6.2,4.11,6.51,9,0
2233,34,6.2,2.94,8.16,5,0
571,35,6.2,3.01,8.03,0,0
1692,34,6.2,3.01,7.39,4,0
1172,34,6.1,3.16,7.7,2,0
571,35,6.1,2.94,6.85,4,0
1013327,37,6.1,2.87,6.28,18,0
837,31,6.1,3.4,8.18,2,0
1757,33,6.1,3.33,8.58,1,0
801,32,6.1,3.42,8.37,5,0
349,30,6.1,2.51,7.58,3,0
200,31,6.1,2.82,8.63,4,0
571,33,6.1,2.98,6.77,2,0
642,32,6.1,2.39,7.89,0,0
2036,33,6.1,2.53,9.05,2,0
4772,31,6.1,3.04,9.51,0,0
1009637,33,6.0,2.53,5.7,24,0
145,35,6.0,3.22,6.0,10,0
1012734,35,6.0,3.64,7.84,9,0
3374,33,6.0,2.88,8.69,4,0
1004852,34,6.0,3.19,6.34,10,0
837,31,6.0,3.5,7.61,4,0
4676,33,6.0,3.05,11.1,0,0
574,35,6.0,3.85,7.65,4,0
11762,31,6.0,2.6,10.68,0,0
815,32,6.0,1.87,7.88,1,0
801,34,6.0,3.24,9.4,4,0
4567,28,6.0,2.3,9.11,1,0
3137,32,5.9,2.9,10.08,0,0
1009122,35,5.9,3.46,5.65,14,0
1005799,31,5.9,2.45,7.6,8,0
225,33,5.9,3.12,5.67,3,0
1757,35,5.9,3.17,7.25,4,0
10131,28,5.9,2.52,10.47,1,0
801,32,5.9,2.87,9.77,3,0
13125,32,5.9,2.88,12.4,1,0
279,34,5.9,3.3,8.62,5,0
1014174,34,5.9,3.47,7.15,9,0
3284,29,5.9,2.57,9.99,1,0
1010183,33,5.9,2.87,7.92,10,0
4235,34,5.9,3.01,9.35,0,0
76,33,5.9,3.48,6.39,7,0
1013435,35,5.8,2.67,6.56,7,0
1003210,36,5.8,2.37,5.16,7,0
404,33,5.8,3.0,8.72,3,0
404,34,5.8,3.37,7.71,2,0
840,33,5.8,2.39,6.92,0,0
921,34,5.8,2.7,6.07,3,0
104,37,5.8,3.35,6.78,7,0
1000546,33,5.8,3.9,6.88,10,0
840,31,5.8,3.99,7.36,2,0
1001911,34,5.8,2.65,6.32,6,0
12703,28,5.8,2.21,11.34,0,1
9323,33,5.8,3.15,11.07,1,0
932,34,5.7,3.45,6.0,6,0
9434,33,5.7,2.48,8.38,3,0
510,30,5.7,3.27,8.7,1,0
200,33,5.7,2.89,9.67,3,0
815,33,5.7,2.98,9.15,0,0
1451,36,5.7,3.76,8.3,6,0
3137,34,5.6,2.96,11.19,1,0
815,33,5.6,3.51,8.7,0,0
104,33,5.6,3.57,5.58,4,0
3137,33,5.6,3.15,10.29,1,0
10131,33,5.6,3.32,10.81,0,0
1006885,36,5.6,2.76,5.55,8,0
1008382,34,5.6,3.36,7.38,10,0
1012532,35,5.6,2.83,6.67,11,0
1005741,37,5.6,3.06,6.46,10,1
1007323,35,5.6,3.2,6.88,7,0
1005827,35,5.6,3.63,6.1,7,0
4772,34,5.6,2.14,9.46,0,0
1005741,35,5.6,2.31,6.24,8,0
3184,34,5.6,3.26,9.82,3,0
1636,31,5.6,2.87,8.97,2,0
15890,31,5.6,2.98,10.71,0,0
3201,31,5.6,3.62,9.44,0,0
1667,34,5.6,4.08,8.5,0,0
10603,31,5.6,3.41,11.82,1,0
2429,32,5.6,3.49,9.93,4,0
73,24,5.6,2.95,10.39,3,0
1692,34,5.5,3.3,7.27,3,0
404,34,5.5,3.18,7.46,2,0
2429,33,5.5,2.89,9.29,2,0
106,33,5.5,2.68,8.09,2,0
1000012,34,5.5,2.89,5.85,5,0
1010853,39,5.5,3.15,4.88,8,0
16149,33,5.5,2.37,9.49,0,0
1005162,28,5.5,2.64,8.22,1,0
115,35,5.5,3.49,8.19,3,0
574,35,5.5,3.65,7.68,4,0
1000266,38,5.5,2.47,4.64,9,0
1001212,33,5.5,2.95,6.63,8,0
4567,33,5.5,3.23,8.22,2,0
19427,34,5.5,3.28,10.88,3,0
115,32,5.5,3.11,8.62,0,0
1011355,35,5.5,3.8,5.9,9,0
1006114,36,5.4,3.66,5.11,11,0
90,34,5.4,2.55,7.01,9,0
1005741,36,5.4,2.03,5.9,9,0
15890,32,5.4,3.39,10.35,1,0
4235,33,5.4,2.41,7.56,4,0
6632,32,5.4,3.29,10.17,1,0
1013327,35,5.4,2.45,6.87,14,0
1013435,36,5.4,2.9,7.05,7,0
397,32,5.4,3.41,6.77,5,0
4930,32,5.4,2.46,9.01,1,0
8700,34,5.4,3.04,10.04,2,0
1011691,36,5.4,3.23,8.47,8,0
1451,34,5.4,3.73,8.47,2,0
837,33,5.4,3.2,8.73,4,0
4930,32,5.4,3.41,9.96,2,0
4505,32,5.4,2.66,8.2,3,0
1011355,24,5.4,2.74,7.26,4,0
1010958,31,5.4,3.44,7.01,7,0
1051,30,5.4,2.88,9.58,3,0
1007323,32,5.4,3.66,6.84,9,0
9425,32,5.4,2.83,6.07,3,0
115,29,5.4,3.19,7.53,1,0
1013750,33,5.4,3.28,6.99,7,0
1680,35,5.3,2.22,8.29,8,0
1943,32,5.3,1.66,8.08,1,0
2233,34,5.3,2.63,8.19,1,0
1006114,39,5.3,3.53,4.66,14,0
837,36,5.3,4.81,7.55,4,0
837,32,5.3,2.54,4.85,8,0
1943,33,5.3,2.93,8.07,0,0
1077,34,5.3,3.05,6.15,4,0
1001098,33,5.3,2.73,4.89,8,0
10603,32,5.3,3.34,9.25,6,0
1006885,33,5.3,3.05,5.37,2,0
3200,32,5.3,3.49,8.79,2,0
90,36,5.3,2.98,6.92,1,0
3374,33,5.3,3.47,8.17,1,0
3,31,5.3,3.89,8.27,4,0
1757,33,5.3,3.14,8.75,3,0
1507,33,5.3,3.44,8.57,1,0
4772,33,5.3,3.47,8.55,5,0
4849,34,5.3,3.95,5.48,3,0
1001964,24,5.3,2.42,8.48,10,0
1507,33,5.3,3.56,7.86,3,0
1006295,35,5.2,2.73,5.56,15,0
1008473,34,5.2,3.37,5.54,10,0
441,34,5.2,2.97,6.63,4,0
1000546,36,5.2,4.17,6.83,8,0
1006885,34,5.2,3.0,6.58,4,0
1011355,33,5.2,3.36,5.71,15,0
1292,28,5.2,2.24,6.73,3,0
1680,35,5.2,2.81,9.41,7,0
115,26,5.2,2.9,9.29,2,0
6632,32,5.2,3.37,10.83,2,0
1008473,35,5.2,3.41,6.78,15,0
755,34,5.2,2.53,7.91,3,0
137,36,5.2,4.01,6.66,11,0
1006222,33,5.2,2.69,6.58,10,0
837,32,5.2,3.51,7.84,1,0
1091,34,5.2,3.53,6.07,4,0
1010852,31,5.2,2.27,6.4,9,1
1013911,32,5.2,2.6,5.0,6,0
115,33,5.2,3.06,6.62,3,0
15474,29,5.2,3.41,11.62,3,0
666,28,5.2,2.54,11.1,4,0
60,23,5.2,3.19,10.67,9,0
1011348,30,5.2,3.44,10.24,5,0
1013327,34,5.2,3.03,8.28,12,0
801,33,5.2,4.05,8.1,2,0
1008246,35,5.2,3.68,5.45,8,1
3,34,5.2,3.4,7.49,4,0
2717,33,5.1,3.15,7.63,3,0
1012519,37,5.1,3.23,6.27,14,0
840,33,5.1,4.02,7.78,1,0
2233,33,5.1,2.42,8.32,5,0
1005799,34,5.1,2.79,7.5,15,0
1680,31,5.1,3.55,9.06,3,0
13125,32,5.1,2.6,8.74,0,0
837,32,5.1,3.29,6.42,7,0
1012104,32,5.1,2.91,5.14,4,0
1706,35,5.1,2.94,5.04,3,0
921,35,5.1,3.37,6.93,3,0
1012532,36,5.1,3.04,6.05,14,0
815,35,5.1,3.13,8.17,8,0
3580,34,5.1,2.94,8.3,3,0
384,35,5.1,3.15,6.7,13,0
1303,32,5.1,3.19,5.4,4,0
1303,31,5.1,3.71,5.55,7,0
349,33,5.1,2.56,7.29,2,0
104,35,5.1,3.46,5.47,8,0
4972,32,5.1,2.79,8.08,3,0
3815,32,5.1,3.16,7.99,1,0
19374,30,5.1,3.26,10.61,2,0
837,29,5.1,3.49,7.63,4,0
200,33,5.1,3.7,9.22,4,0
179,34,5.1,3.04,7.67,1,0
2038,34,5.1,3.21,6.58,1,0
6345,34,5.1,3.23,10.7,1,0
1009756,29,5.1,2.88,6.29,5,0
1144,26,5.1,3.1,8.9,0,0
7448,32,5.0,2.89,9.35,2,0
1001098,33,5.0,2.87,6.24,12,0
1507,33,5.0,3.01,7.19,2,0
512,35,5.0,4.07,9.39,1,0
1000122,36,5.0,3.13,4.78,11,0
1014170,33,5.0,3.36,8.96,7,0
1012084,34,5.0,3.21,6.09,5,0
1000516,34,5.0,3.35,7.99,5,0
279,35,5.0,3.61,7.26,2,0
115,35,5.0,2.85,7.84,9,0
1292,32,5.0,3.09,7.47,5,0
1002255,37,5.0,3.54,6.71,5,0
384,35,5.0,4.16,8.13,4,0
1680,31,5.0,3.23,9.91,6,0
1010852,34,5.0,3.09,4.24,12,0
1010887,36,5.0,3.09,5.64,7,1
126,28,5.0,3.16,10.93,1,0
1013435,36,5.0,3.66,7.28,9,0
10603,26,5.0,2.17,10.76,2,0
404,28,5.0,3.22,8.03,6,0
512,32,5.0,3.44,8.53,4,0
748,34,5.0,3.48,5.86,1,0
1636,30,5.0,3.16,8.83,0,0
1012519,36,4.9,2.56,5.6,11,0
430,34,4.9,2.9,6.67,3,0
1005124,34,4.9,3.27,4.97,11,0
2233,32,4.9,2.38,7.1,5,0
1008193,33,4.9,2.92,8.56,12,0
1008546,36,4.9,3.32,4.25,12,0
748,35,4.9,3.87,6.53,4,0
4930,32,4.9,3.25,9.74,2,0
6893,32,4.9,2.79,8.11,5,0
5524,32,4.9,2.93,9.65,4,0
2429,32,4.9,3.14,9.5,3,0
34,33,4.9,4.79,8.17,2,0
1943,32,4.9,3.2,9.56,1,0
1011138,36,4.9,3.23,4.81,13,0
921,34,4.9,3.33,5.3,1,0
200,33,4.9,3.9,9.41,1,0
668,32,4.9,3.0,6.27,4,0
8217,32,4.9,3.02,6.09,4,0
14444,29,4.9,2.32,8.03,1,0
10954,30,4.9,2.54,9.66,0,0
1004001,32,4.9,2.73,8.09,5,0
571,33,4.9,3.18,6.54,1,0
1013327,25,4.9,2.48,8.42,11,0
11423,32,4.9,3.2,7.83,0,0
1680,29,4.9,2.82,10.25,1,0
1011348,27,4.9,2.91,10.56,2,0
6329,33,4.9,3.32,7.34,0,0
1000516,35,4.9,3.43,7.62,5,0
4930,32,4.9,3.34,9.09,1,0
1005333,31,4.9,3.47,6.82,7,0
574,30,4.9,3.47,8.32,3,0
1008473,25,4.9,3.73,6.31,6,0
1943,33,4.9,4.17,7.4,3,0
11423,32,4.9,3.32,8.0,0,0
90,33,4.8,2.47,6.16,4,0
1008473,34,4.8,3.18,6.15,13,0
1012519,37,4.8,3.68,7.06,8,0
384,32,4.8,2.4,6.75,7,0
1298,30,4.8,3.4,7.36,3,0
883,28,4.8,2.47,8.11,4,0
1004852,33,4.8,2.84,7.2,12,0
517,33,4.8,2.96,8.14,1,0
1012532,38,4.8,3.25,4.4,19,0
944,35,4.8,3.49,8.61,3,0
1007323,34,4.8,2.74,8.46,8,0
7059,33,4.8,2.82,8.12,11,0
883,31,4.8,3.2,8.65,2,0
1005013,31,4.8,3.42,7.51,7,0
3,30,4.8,2.46,6.48,3,0
1003473,34,4.8,2.77,6.21,10,0
1943,34,4.8,3.48,8.48,0,0
801,32,4.8,3.74,8.85,2,0
1012924,34,4.8,3.85,5.11,5,0
1692,33,4.8,3.54,6.76,1,0
6632,30,4.8,3.63,10.58,3,0
710,31,4.8,3.09,7.17,5,0
8700,34,4.8,3.46,8.95,0,0
4897,34,4.8,3.48,10.41,0,0
1077,31,4.8,3.81,7.89,1,0
1010853,32,4.8,2.94,5.76,7,0
512,31,4.8,3.3,8.94,7,0
3184,34,4.8,3.49,8.75,0,0
10547,29,4.8,3.49,10.21,1,0
1259,32,4.8,3.72,8.78,1,0
801,33,4.8,4.67,8.64,1,0
10603,30,4.8,3.07,9.49,4,0
1005136,22,4.8,2.8,6.58,3,0
1006515,36,4.7,3.43,2.65,16,0
13543,31,4.7,1.89,11.01,0,0
90,35,4.7,3.4,5.68,4,0
475,35,4.7,3.58,6.83,3,0
1245,34,4.7,2.73,8.86,5,0
34,33,4.7,4.23,7.07,3,0
1007973,34,4.7,2.91,4.87,9,0
106,35,4.7,3.24,7.38,1,0
1007438,35,4.7,2.91,7.08,9,0
10603,30,4.7,3.05,9.0,1,0
305,31,4.7,2.75,8.07,1,0
1009211,35,4.7,3.33,6.69,13,0
1003993,35,4.7,3.45,6.98,6,0
1005160,33,4.7,3.66,7.19,5,0
137,34,4.7,3.69,5.32,3,0
13074,29,4.7,3.9,10.4,0,0
1571,32,4.7,3.96,4.09,2,0
921,34,4.7,2.98,5.74,4,0
1757,34,4.7,3.07,7.76,0,0
1014174,35,4.7,3.56,6.48,6,0
375,34,4.7,3.87,6.43,9,0
15764,31,4.7,3.07,7.44,0,0
1003080,35,4.7,3.12,4.2,10,1
9323,33,4.7,3.25,10.6,1,0
1007103,36,4.7,3.25,5.5,3,0
106,35,4.7,4.01,6.85,5,0
305,32,4.7,3.11,7.07,3,0
1144,34,4.7,3.35,6.57,2,0
3,34,4.7,3.42,6.85,6,0
1010140,28,4.7,2.48,6.1,8,0
271,32,4.7,3.56,9.44,3,0
1310,34,4.7,3.77,7.18,0,0
17479,33,4.7,2.75,10.59,0,0
1010852,38,4.7,3.4,4.9,6,0
707,31,4.7,4.01,7.41,2,0
801,33,4.7,4.84,8.17,1,0
3340,31,4.7,3.32,8.95,2,0
73,26,4.7,3.19,8.93,8,0
4972,33,4.7,3.6,8.26,1,0
199,32,4.6,2.58,5.2,1,0
840,35,4.6,3.87,6.6,2,0
90,33,4.6,2.76,5.16,7,0
1010853,37,4.6,2.51,4.36,10,3
4972,31,4.6,3.05,9.03,2,0
1012745,34,4.6,3.06,6.31,6,0
1012824,34,4.6,2.99,4.98,4,0
1003168,36,4.6,3.05,7.39,5,0
1012218,35,4.6,3.2,4.74,6,0
665,34,4.6,3.61,5.51,8,0
1010887,34,4.6,2.84,5.64,12,0
430,33,4.6,3.14,6.24,3,0
1001279,35,4.6,3.7,5.09,13,0
126,33,4.6,3.76,7.84,0,0
73,31,4.6,3.97,8.07,0,0
4972,33,4.6,3.09,7.76,2,0
978,35,4.6,3.29,6.88,3,0
1006295,32,4.6,3.42,4.93,4,0
1091,32,4.6,3.87,5.41,4,0
13074,32,4.6,2.83,11.89,0,0
2036,32,4.6,2.91,9.34,1,0
1003168,34,4.6,3.67,8.31,3,0
1006885,33,4.6,3.88,4.92,5,0
76,31,4.6,2.7,5.81,5,0
4732,33,4.6,2.88,7.27,1,0
115,29,4.6,3.18,9.02,2,0
1172,33,4.6,3.19,6.18,3,0
921,27,4.6,3.53,4.91,3,0
1005162,27,4.6,2.93,7.91,4,0
73,29,4.6,3.81,7.19,8,0
1451,32,4.6,3.83,6.93,1,0
10310,31,4.6,3.96,8.98,0,0
179,34,4.6,4.24,6.26,2,0
1005281,23,4.6,2.25,6.63,8,0
1008161,32,4.6,2.95,6.21,7,0
535,31,4.6,3.69,6.76,1,0
801,34,4.6,3.91,6.99,2,0
1007323,33,4.6,4.4,7.87,5,0
1009122,37,4.6,3.78,7.16,9,1
179,30,4.6,4.56,6.61,2,0
1000546,22,4.6,3.91,7.41,9,0
944,35,4.5,2.75,7.14,1,0
179,34,4.5,3.65,5.63,2,0
1012788,34,4.5,2.82,6.07,1,0
574,35,4.5,3.51,8.06,3,0
855,31,4.5,3.75,5.98,2,0
790,31,4.5,3.0,5.63,2,0
1680,30,4.5,3.57,7.5,6,0
1190,34,4.5,3.87,6.24,0,0
837,33,4.5,4.05,7.6,2,0
1012289,34,4.5,2.7,7.96,18,0
1943,32,4.5,2.71,9.21,0,0
1116,33,4.5,3.75,6.19,5,0
815,33,4.5,3.91,8.08,1,0
1163,34,4.5,3.09,7.09,2,0
1277,34,4.5,3.17,5.2,7,0
3137,32,4.5,3.74,11.08,0,0
225,35,4.5,3.89,6.05,4,0
1012824,34,4.5,3.97,5.65,4,0
73,34,4.5,4.02,7.11,7,0
1001702,34,4.5,2.84,5.03,11,0
932,26,4.5,3.13,6.17,9,0
1004852,25,4.5,3.21,7.41,7,0
1013750,35,4.5,3.22,7.01,6,0
1001909,33,4.5,3.23,7.15,2,0
415,32,4.5,3.28,7.68,0,0
748,33,4.5,3.94,5.46,6,0
1012532,36,4.5,2.48,5.67,8,0
349,29,4.5,2.7,6.94,7,0
67,34,4.5,2.78,5.33,5,1
10131,34,4.5,3.14,10.13,0,0
1001911,31,4.5,3.28,5.69,11,0
1008454,34,4.5,3.39,6.98,7,0
1131,29,4.5,3.45,9.52,2,0
1012084,35,4.5,3.64,7.08,2,0
4972,32,4.5,3.65,9.11,2,0
1514,30,4.5,2.98,10.97,2,0
16149,27,4.5,3.54,9.86,0,0
1003993,30,4.5,3.8,7.03,5,0
12768,31,4.5,2.87,10.52,0,0
1011348,35,4.5,3.35,7.7,4,0
1292,34,4.5,3.45,7.24,4,0
4141,33,4.5,3.42,7.99,2,0
642,26,4.5,3.6,6.11,3,0
1000731,30,4.5,3.84,6.04,8,0
287,31,4.5,4.07,8.23,3,0
6345,34,4.5,4.07,11.15,0,0
4972,30,4.5,2.46,8.71,0,0
4662,25,4.5,3.32,6.49,5,0
6986,33,4.4,2.88,8.03,1,0
6893,34,4.4,2.25,8.94,4,0
375,33,4.4,2.93,5.75,8,0
287,34,4.4,3.8,5.73,5,0
1009122,35,4.4,2.61,6.41,6,0
855,30,4.4,3.49,6.84,8,0
1124,33,4.4,3.29,6.96,1,0
1004145,33,4.4,3.39,4.41,7,0
1007323,35,4.4,3.4,8.16,5,0
161,31,4.4,3.75,5.58,4,0
3184,35,4.4,3.99,8.92,2,0
535,33,4.4,3.03,5.84,0,0
666,33,4.4,3.19,9.22,3,0
1007492,35,4.4,3.41,5.65,8,0
199,35,4.4,3.63,5.08,1,0
384,34,4.4,4.17,7.8,3,0
1116,33,4.4,3.2,6.87,8,0
1010246,35,4.4,3.22,4.83,8,0
1283,33,4.4,3.32,6.92,0,0
642,34,4.4,3.59,5.48,12,0
384,32,4.4,4.21,8.65,2,0
944,35,4.4,3.3,5.67,4,0
14168,32,4.4,3.68,8.76,1,0
375,31,4.4,3.71,6.97,6,0
571,33,4.4,2.76,8.21,2,0
1011355,28,4.4,3.07,6.23,7,0
1001911,31,4.4,3.1,5.42,4,0
5524,33,4.4,3.21,8.4,0,0
304,26,4.4,3.4,12.58,1,0
1014174,34,4.4,4.15,4.79,12,0
1244,34,4.4,3.39,7.21,0,0
287,35,4.4,4.41,6.88,6,0
384,33,4.4,4.43,8.44,1,0
384,34,4.4,3.39,8.54,1,0
1116,35,4.4,3.6,6.56,9,0
8217,34,4.4,4.05,6.04,5,0
1051,32,4.4,4.09,9.56,2,0
384,32,4.4,4.15,8.21,2,0
1011348,35,4.4,3.8,8.11,4,0
1000012,29,4.4,2.77,5.55,7,0
3254,33,4.4,2.99,8.28,2,0
282,42,4.4,3.74,7.83,2,11
3184,31,4.3,2.56,8.74,2,0
1163,34,4.3,3.91,7.44,5,0
3184,32,4.3,2.72,8.11,2,0
6893,33,4.3,2.78,7.05,2,0
225,34,4.3,3.58,5.05,5,0
2036,27,4.3,2.31,10.39,1,0
9803,32,4.3,2.83,6.55,1,0
1012532,33,4.3,2.93,5.39,2,0
1001007,35,4.3,3.12,4.9,8,0
1012941,32,4.3,3.83,4.09,2,0
34,34,4.3,4.51,5.83,2,0
90,29,4.3,3.08,5.75,3,0
4930,33,4.3,3.21,6.5,2,0
5705,33,4.3,3.43,9.79,1,0
1001911,36,4.3,3.57,5.96,17,0
1002255,40,4.3,3.71,4.69,11,0
855,32,4.3,4.21,6.44,5,0
106,34,4.3,4.52,6.57,2,0
5524,34,4.3,2.74,9.97,4,0
1008700,35,4.3,3.25,7.53,8,0
1094,32,4.3,3.49,4.42,3,0
1267,36,4.3,3.5,8.38,2,0
6329,32,4.3,3.72,6.85,1,0
375,30,4.3,3.88,10.15,2,0
104,34,4.3,4.2,5.01,0,0
1010887,33,4.3,2.72,5.14,6,0
199,34,4.3,3.24,6.27,1,0
1005162,33,4.3,3.99,7.9,2,0
225,35,4.3,4.14,4.65,2,0
9784,26,4.3,2.61,8.75,1,0
503,34,4.3,4.01,6.26,0,0
815,29,4.3,4.35,9.6,0,0
1277,34,4.3,4.55,5.03,2,0
1012084,28,4.3,3.46,6.32,1,0
1012532,34,4.3,3.71,4.01,14,0
510,27,4.3,4.03,8.88,1,0
946,43,4.3,4.33,7.63,0,0
1012824,36,4.3,4.43,5.98,3,0
1003660,25,4.3,3.08,6.22,6,0
1051,32,4.3,3.37,7.97,4,0
1692,29,4.3,2.84,8.57,1,0
46,36,4.3,3.54,6.61,2,0
11762,32,4.3,4.28,9.2,1,0
3196,30,4.3,3.12,8.69,0,0
71,31,4.3,3.13,8.39,2,0
11423,32,4.3,3.36,7.72,1,0
1000864,34,4.3,3.36,6.36,4,0
1007988,39,4.3,3.69,4.73,5,0
1006295,36,4.3,4.02,6.11,11,0
1003473,33,4.2,2.76,5.1,9,0
1007185,34,4.2,3.05,6.54,10,0
4930,32,4.2,2.44,8.75,2,0
1009756,32,4.2,2.57,6.13,7,0
40,32,4.2,3.15,6.07,1,0
1011608,29,4.2,3.22,7.57,2,0
1010246,35,4.2,3.24,5.55,7,0
1009582,35,4.2,2.47,4.33,16,0
1172,32,4.2,3.42,7.32,1,0
510,32,4.2,3.86,8.43,4,0
862,34,4.2,5.04,8.15,7,0
12049,31,4.2,2.13,8.05,2,0
7146,33,4.2,3.49,6.85,3,0
1011422,34,4.2,3.81,5.63,2,0
1239,32,4.2,4.47,8.47,0,0
3580,33,4.2,3.35,7.5,3,0
510,29,4.2,3.38,8.36,2,0
15689,32,4.2,3.4,10.67,0,0
3830,34,4.2,3.52,7.88,1,0
1013327,35,4.2,3.75,6.62,9,0
225,34,4.2,3.79,5.76,1,0
1193,35,4.2,4.22,7.5,0,0
73,42,4.2,2.35,5.85,10,2
1008161,31,4.2,2.39,4.99,9,0
3815,31,4.2,2.92,9.21,1,0
